n,M(n),M_total,omega,f
48,-4.1058035296140265274343544657682156902707449199032e-31,1.6725447485484398134473525780671065007261256100746e-27,133288143786931.25699118500378106998282893236461686,21213466939233.407078661706870239538512835808860549
49,-3.6421598422675854706971025811438249006150990406286e-31,1.6721805325642130549002828678089921182360641001706e-27,133302658675843.19689117081976066726194211177056278,21215777055552.172056053585878301442018256383072814
50,-1.9235482473704009900741115456755465100931523830132e-31,1.6719881777394760148012754566544245635850547849323e-27,133310326395163.15214867964298377506870920823171116,21216997410984.18416146644180583323719762765670536
51,3.9808434719349123142887499675342960699122308558268e-32,1.6720279861741953639244183441540999065457539072408e-27,133308739428001.97826133343888491490572957099363808,21216744837315.958824732638004558617932929952304553
52,2.5241924580177377241975534613418099266334257970657e-31,1.6722804054199971376968380995002340875384172498205e-27,133298678028834.27499467813236987121321972561350517,21215143515903.998168232378036182569915862905705016
53,3.7455186195664147787757395821098301924799258478357e-31,1.6726549572819537791747156734584450705576652424053e-27,133283752636374.23701540541391990920571218364196613,21212768065916.396619911795793681342988838062990308
54,3.6320444971325779112059724014461990407820101563606e-31,1.673018161731667036965836270698589690461743443421e-27,133269284210154.96789112538986513722129388258380499,21210465344364.839556049881591573060282476286817354
55,2.1633722950999678512865871486120873264014825777376e-31,1.6732344989611770337509649294134508991943835916787e-27,133260668549971.99349694862211984151059247963600181,21209094119458.719157788833554671562728595021757251
56,-2.1867502856641718252372112099715858416896845393749e-32,1.6732126314583203920327125573013511833359666948333e-27,133261539350393.38717319633672907495694648683616476,21209232711650.230466809710684535191974921678499512
57,-2.6858188742516491197311621415135770829104765933071e-31,1.672944049570895227120739441087199825627675647174e-27,133272236121557.7448063282872283989663329840083495,21210935155656.160832920232736159179807026284887591
58,-4.2762967264164944057924104518339423949180565135871e-31,1.6725164198982535776801602000420164313881838415227e-27,133289272582190.2557225144463768446857823067736638,21213646592578.615423002856633318743521526611753276
