n,M_total,omega,phase,Δω²
177,1.67261829372e-27,3.48828024831e+15,6.18779377065e+17,1.3190202443701524e+25
178,1.67261648061e-27,3.48828213896e+15,6.22267659204e+17,8.502262334588598e+25
179,1.67260479356e-27,3.48829432583e+15,6.25755953529e+17,2.4712048222002324e+26
180,1.67257082579e-27,3.48832974704e+15,6.29244283276e+17,1.6861835090018283e+26
181,1.67254764927e-27,3.48835391588e+15,6.32732637192e+17,9.561259986095107e+25
182,1.67253450765e-27,3.4883676204e+15,6.36221004813e+17,7.291963584568918e+23
183,1.67253460787e-27,3.48836751588e+15,6.39709372329e+17,7.673677947457367e+25
184,1.67254515506e-27,3.48835651691e+15,6.43197728845e+17,2.015423549259747e+26
185,1.67257285697e-27,3.48832762892e+15,6.46686056474e+17,1.9787458611731354e+26
186,1.67260005564e-27,3.48829926642e+15,6.50174355741e+17,7.98884458140708e+25
187,1.67261103688e-27,3.48828781548e+15,6.53662643556e+17,1.162013064547476e+25
188,1.67261263416e-27,3.48828614989e+15,6.57150929706e+17,8.000420572527739e+25
189,1.67260163698e-27,3.48829761743e+15,6.60639227324e+17,1.5280947170560428e+26
190,1.67258063258e-27,3.48831952051e+15,6.64127546844e+17,2.169123442289878e+26
191,1.67255081784e-27,3.48835061161e+15,6.67615897456e+17,7.63196889567221e+25
192,1.6725403279e-27,3.48836155082e+15,6.71104259007e+17,2.060914085378662e+25
193,1.67253749525e-27,3.4883645048e+15,6.74592623511e+17,8.607886673229413e+25
194,1.67254932654e-27,3.48835216678e+15,6.78080975678e+17,1.1414561137039507e+26
195,1.67256501576e-27,3.48833580578e+15,6.81569311484e+17,2.1674243987528627e+26
196,1.67259480766e-27,3.4883047389e+15,6.85057616223e+17,8.659315776110587e+25
197,1.67260671044e-27,3.48829232696e+15,6.8854590855e+17,2.474289931322232e+25
198,1.67261011154e-27,3.48828878039e+15,6.9203419733e+17,8.753088943886908e+25
199,1.67259807981e-27,3.48830132676e+15,6.95522498657e+17,9.347715883152051e+25
200,1.67258523092e-27,3.4883147254e+15,6.99010813382e+17,1.9632664275060692e+26
201,1.6725582455e-27,3.4883428659e+15,7.02499156248e+17,1.0671116458599743e+26
202,1.67254357824e-27,3.48835816126e+15,7.05987514409e+17,2.5182446151690464e+25
203,1.672540117e-27,3.48836177076e+15,7.0947587618e+17,8.084590258361156e+25
204,1.67255122905e-27,3.48835018279e+15,7.12964226363e+17,9.135279308453484e+25
205,1.67256378543e-27,3.48833708879e+15,7.16452563452e+17,1.6222186219208895e+26
206,1.67258608318e-27,3.48831383668e+15,7.19940877289e+17,1.2861238486183958e+26
207,1.67260376165e-27,3.48829540188e+15,7.2342917269e+17,2.511247579758545e+25
208,1.67260721354e-27,3.48829180234e+15,7.26917464493e+17,6.680654599411276e+25
209,1.67259803053e-27,3.48830137815e+15,7.30405765871e+17,1.0173089155084563e+26
210,1.67258404713e-27,3.48831595985e+15,7.33894081831e+17,1.2550458100645128e+26
211,1.67256679624e-27,3.48833394908e+15,7.3738241578e+17,1.4355359899957097e+26
212,1.67254706492e-27,3.48835452526e+15,7.40870770305e+17,2.8082281371580695e+25
213,1.67254320508e-27,3.48835855041e+15,7.44359128855e+17,4.9235853291536685e+25
214,1.67254997243e-27,3.48835149323e+15,7.47847480349e+17,1.1519938369068062e+26
215,1.67256580651e-27,3.48833498118e+15,7.5133581533e+17,9.724370539135711e+25
216,1.67257917283e-27,3.48832104274e+15,7.54824136373e+17,1.4550722174403289e+26
217,1.67259917345e-27,3.48830018634e+15,7.58312436559e+17,3.609222114794245e+25
218,1.67260413456e-27,3.48829501301e+15,7.61800731572e+17,3.2637897106166916e+25
219,1.67259964827e-27,3.48829969121e+15,7.65289031263e+17,1.2286915379199325e+26
220,1.67258275931e-27,3.48831730278e+15,7.68777348566e+17,8.440497885548132e+25
221,1.67257115764e-27,3.48832940099e+15,7.72265677967e+17,1.3354692095202881e+26
222,1.67255280161e-27,3.4883485429e+15,7.7575402651e+17,4.848584601771166e+25
223,1.67254613732e-27,3.48835549258e+15,7.79242382002e+17,2.0165752755943958e+25
224,1.67254890906e-27,3.48835260214e+15,7.82730734605e+17,1.1961333469260792e+26
225,1.67256534982e-27,3.48833545742e+15,7.86219070062e+17,8.766699417191324e+25
226,1.67257739979e-27,3.48832289167e+15,7.89707392954e+17,1.119843361859517e+26
227,1.67259279247e-27,3.48830684031e+15,7.93195699794e+17,6.206380227618358e+25
228,1.6726013235e-27,3.48829794432e+15,7.96683997738e+17,1.2520936421915645e+25
229,1.67259960241e-27,3.48829973903e+15,8.00172297477e+17,1.0529970144047364e+26
230,1.67258512844e-27,3.48831483227e+15,8.0366061231e+17,1.0177761060699482e+26
231,1.67257113883e-27,3.4883294206e+15,8.0714894173e+17,8.85870933977119e+25
232,1.67255896249e-27,3.48834211822e+15,8.10637283848e+17,7.249674825875708e+25
233,1.6725489979e-27,3.48835250949e+15,8.14125636358e+17,8.232517447274675e+24
234,1.67255012945e-27,3.48835132949e+15,8.17613987687e+17,8.408797180105272e+25
235,1.67256168726e-27,3.48833927679e+15,8.21102326964e+17,1.1810124195412385e+26
236,1.67257792043e-27,3.48832234874e+15,8.24590649313e+17,7.140861539940396e+25
237,1.67258773579e-27,3.48831211335e+15,8.28078961426e+17,7.623635664811144e+25
238,1.67259821487e-27,3.48830118593e+15,8.31567262612e+17,4.848694556293547e+24
239,1.67259754839e-27,3.48830188092e+15,8.35055564493e+17,6.209807639725478e+25
240,1.67258901268e-27,3.48831078182e+15,8.38543875275e+17,1.2815367119817404e+26
241,1.67257139757e-27,3.48832915078e+15,8.42032204426e+17,6.572927281594009e+25
242,1.67256236303e-27,3.48833857208e+15,8.45520542998e+17,7.222502980231471e+25
243,1.67255243575e-27,3.48834892442e+15,8.49008891922e+17,4.0081384857674136e+23
244,1.67255249084e-27,3.48834886697e+15,8.52497240789e+17,4.4821224310136405e+25
245,1.67255865147e-27,3.48834244255e+15,8.55985583232e+17,1.2674692622119781e+26
246,1.67257607296e-27,3.48832427529e+15,8.59473907507e+17,7.214973401318311e+25
247,1.67258599017e-27,3.48831393367e+15,8.62962221441e+17,6.244867765537001e+25
248,1.67259457403e-27,3.48830498253e+15,8.66450526423e+17,5.634009191501852e+24
249,1.67259534845e-27,3.48830417497e+15,8.69938830598e+17,3.5102583500895974e+25
250,1.67259052342e-27,3.48830920644e+15,8.73427139805e+17,1.1353693176646158e+26
251,1.67257491738e-27,3.48832548032e+15,8.76915465285e+17,8.662814663688634e+25
252,1.67256301024e-27,3.48833789716e+15,8.80403803182e+17,5.126227432236649e+25
253,1.67255596426e-27,3.48834524482e+15,8.83892148427e+17,1.2252472358067213e+25
254,1.67255428017e-27,3.48834700102e+15,8.87380495428e+17,3.2559405063586484e+25
255,1.67255875543e-27,3.48834233414e+15,8.90868837762e+17,9.26403203879411e+25
256,1.6725714889e-27,3.48832905555e+15,8.94357166818e+17,1.0226075177671851e+26
257,1.67258554492e-27,3.48831439797e+15,8.97845481216e+17,4.359908691336243e+25
258,1.67259153781e-27,3.48830814865e+15,9.01333789364e+17,1.7673896269534253e+25
259,1.67259396717e-27,3.48830561535e+15,9.0482209498e+17,3.4300304500667804e+25
260,1.67258925243e-27,3.48831053182e+15,9.08310405511e+17,7.056926247536111e+25
261,1.67257955242e-27,3.48832064691e+15,9.11798726158e+17,1.1209108981908183e+26
262,1.67256414531e-27,3.4883367135e+15,9.15287062872e+17,4.297533387649051e+25
263,1.67255823836e-27,3.48834287335e+15,9.18775405745e+17,2.047274186621032e+25
264,1.6725554244e-27,3.4883458078e+15,9.22263751553e+17,3.655251294314911e+25
265,1.67256044852e-27,3.48834056856e+15,9.25752092122e+17,5.355637925962159e+25
266,1.67256780986e-27,3.48833289207e+15,9.29240425014e+17,1.117425858315528e+26
267,1.67258316913e-27,3.48831687542e+15,9.32728741889e+17,5.000962101214554e+25
